Country,Mass
Albania,10
Argentina,14
Australia,10
Austria,20
Benin,14
"Bosnia and Herzegovina",10
Canada,13.6
"Costa Rica",8
Croatia,10
Denmark,12
Estonia,10
Fiji,10
Finland,12
France,10
Georgia,10
Germany,11
Guyana,8
"Hong Kong",10
Hungary,17
Iceland,8
Ireland,10
Italy,12
Japan,10
Latvia,12
Luxembourg,10
Malta,8
Mexico,10
Namibia,10
Netherlands,10
"New Zealand",10
"North Macedonia",14.2
Norway,12.8
Philippines,12
Poland,10
Portugal,11
Russia,10
Seychelles,8
Singapore,10
Slovenia,10
"South Africa",12
"South Korea",8
Spain,10
Sweden,12
Switzerland,12
Taiwan,10
Thailand,10
Ukraine,10
"United Kingdom",8
"United States",14
Uruguay,10
